ID,Current_Job,Qualification,Years_of_experience,Industry
991, Product Manager ,"Bachelor's degree, Natural Sciences( Microbiology)
",5,Real Estate
992, Project Manager ,"BSc, Accounting",8,Human Resources
993, Product Manager ,"BA, Mass Communication/Media Studies",10,Business Products & Services
994, Product Manager ,"BS, Accounting",1,Software
995, Product Manager ,"BS, Geography",5,Energy
996, Programs and Partnership Associate,"Bachelor's degree, civil engineering",10,Business Products & Services
997, Product Manager ,"BEng, Electronic & Computer Engineering ",5,Software
998, Senior Technical Product Manager,"BE, Electrical and Electronics Engineering",10,Logistics & Transportation
999, Product Manager ,"BSc, Biochemistry",5,Real Estate
1000, Project Manager ,"BS, Computer Technology",10,Software
1001, Product Manager Events,"BS, Computer Science",8,Retail
1002, Technical Product Manager,"Bachelor of Science - BS, Sociology",3,Advertising & Marketing
1003, Scrum Master |Project Manager,Bsc,5,Software
1004, Project Manager,BSc. Electrical/Electronics Engineering,8,Advertising & Marketing
1005, Product Hub Africa,BSC Mass Communication ,5,Software
1006, Associate Product Manager ,"BSc, Agricultural Engineering And Environmental Engineering",8,Advertising & Marketing
1007,Agoro ,BSc (ED) Economics,4,Media
1008, Sales And Marketing Specialist,BSc Economics,10,Engineering
1009, Project Manager ,Bsc. Geology and Mineral Sciences,6,Telecommunications
1010, Team project Manager,Bsc. Petroleum engineering ,3,Software
1011, Project Manager ,Bsc. Sociology,10,Manufacturing
1012, Chief Operations Officer ,Bsc. zoology/Animal Biology,4,Construction
1013, Junior Product Manager,BSc Computer science/Cybersecutity ,10,Human Resources
1014, Product Manager ,BSc Industrial Chemistry ,6,Advertising & Marketing
1015, Project Manager ,"BSc, Nursing ",7,Construction
1016, Lead Product Manager ,"BSc, Biochemistry",3,Software
1017, Management Associate ,BSc. Law,5,Logistics & Transportation
1018, Project Manager ,"BSc, Statistics",3,Insurance
1019, Product Management Lead,B.Tech Applied Geology,10,Software
1020, Group Technical Operations Manager ...,Bsc. Marketing ,6,Business Products & Services
1021, Human Resources Project Manager,Bsc. Chemical Engineering ,0,Real Estate
1022, BON Storytelling Agency,BSc Statistics ,3,Media
1023, E ,BSc Computer science ,5,IT Management
1024, Product Manager ,B.Arch Architecture ,8,Computer Hardware
1025, Product Manager ,BSc Chemical Engineering ,10,Government Services
1026, Senior Product Manager ,BE Civil Engineering,5,Engineering
1027, Project Manager,BSc Tourism Management ,10,Consumer Products & Services
1028, Investment Analyst,B.eng  Petroleum Engineering ,10,Consumer Products & Services
1029, Investment Analyst trainee ,BSc Chemistry,10,Engineering
1030, Assistant General Manager,BSc Economics,8,Financial Services
1031, Project Architect ,BSc Economics,2,Advertising & Marketing
1032, Financial Business Analyst / Investment ...,BSc Linguistics and communication studies,6,Government Services
1033, Money Market Operations Coordinator,BA History and diplomatic studies,0,Advertising & Marketing
1034, Investment Analyst ,BSc Music,5,Health
1035, Investment Research Analyst ,BSc Biochemistry ,3,Advertising & Marketing
1036," Analyst, Research and Portfolio ...",BSc Biochemistry ,3,Human Resources
1037, Financial Analyst ,BSc International relations and affairs,10,Logistics & Transportation
1038, Executive Director ,BSc Pure ad Industrial chemistry,10,Health
1039, African Capital Alliance,BSc Human Resource management ,10,Health
1040, The Chrysalis Capital,"BS, Metallurgical Engineering",10,Consumer Products & Services
1041, Programming ,BASc Real Estate,5,IT System Development
1042, ORDA,BE. Agricultural Engineering ,10,Software
1043, Data Analyst ,BSc Entrepreneurship studies,6,Consumer Products & Services
1044, Software Developer ,BSc Accounting,7,Health
1045, Operations Specialist ,B.Tech. Food Science and Technology ,5,Energy
1046, Investment Management ,BSc Biochemistry ,6,Security
1047, Project Supervisor / Investment Strategies,BSc Industrial Chemistry ,10,IT System Development
1048, Senior Investment Associate ,Mechanical Engineering ,3,Business Products & Services
1049, EY,Mechanical Engineering ,3,Real Estate
1050, Partner ,BSc Biochemistry ,5,Media
1051, Void Studio,BSc Mechanical Engineering ,5,Computer Hardware
1052, Investment Banking Associate,BE Electrical and Electronics Engineering ,6,Consumer Products & Services
1053, Realtor ,Bsc Physics and Mathematics ,10,IT System Development
1054, Interior Designer ,Bsc Sociology ,5,Engineering
1055, Business Analyst ,Bsc Industrial Microbiology ,10,Health
1056, Project Manager ,Bsc Applied Microbiology and Brewing,10,Construction
1057, Finance Analyst ,B.Tech Applied Geology,5,Advertising & Marketing
1058, Solvent Partners Limited,B.Tech Physics electronics,6,Advertising & Marketing
1059, Freelance ,,3,Media
1060, Landmark University,BSc Microbiology,0,Consumer Products & Services
1061, Senior Accountant,BA Religious studies,6,Health
1062, Project Manager ,BSc Biochemistry,5,IT Management
1063, Development Bank of Nigeria Plc,BSc Pure and applied biology,7,Travel & Hospitality
1064, Entrepreneur ,BSc Food Science and Technology ,8,Business Products & Services
1065, Account Analyst ,BEng Electrical ad Electronics Engineering,8,Government Services
1066, Stock Controller ,BSc Computer Science,5,Software
1067, Application Support Analyst,B.Tech Agricultural Engineering ,0,Consumer Products & Services
1068, Senior Software Engineer ,BSc Computer Science,10,Advertising & Marketing
1069, Institute for Research on African Women ...,B.Tech Microbiology,8,Advertising & Marketing
1070, Account Officer ,BSc Computer Science,7,Business Products & Services
1071, Administration ,BSc Computer Science,10,Real Estate
1072, MD/CEO ,BSc Computer Science,3,Government Services
1073, Business Development and Relationship,"B.Eng Electrical, Electronics & Communications Engineering",5,Government Services
1074, Cordros,"MD, Veterinary Medicine (in view)",7,Financial Services
1075, Team lead Kon,BSc Computer Science and Education ,10,Retail
1076, Creative Associate ,BSc Biochemistry,10,Business Products & Services
1077, Business Support Analyst,BSc Medical laboratory science,10,Environmental Services
1078," Obafemi Awolowo University, Ile",BTech Petroleum Engineering ,7,Construction
1079, Fund Manager ,BTech Chemical Engineering ,0,Food & Beverage
1080, Green (Renewable) Energy Specialist,BSc Computer Science,10,Consumer Products & Services
1081, Project Assistant ,BSc Cell Biology and Genetics,5,Manufacturing
1082, Customer Service Specialist,B.Tech Computer Science ,9,Consumer Products & Services
1083, System Administrator ,BSc. Mechanical Engineering ,15,Real Estate
1084, Digital Channels Analyst ,BSc. Architecture,7,Energy
1085, Analyst ,BSc. Biochemistry,10,Software
1086, Service Desk Analyst,Bsc Geology and Mineral Science,10,Financial Services
1087, Cost Control and Budget Analyst,BSc Banking and Finance,0,Software
1088, Accountant (Senior Analyst Level),BA English and Literature,0,Software
1089, STI ASSET MANAGEMENT LIMITED,BSc Computer science ,5,Advertising & Marketing
1090, Business Analyst ,BSc Economics,10,Energy
1091, Lead Stylist & Operations Associate,BSc Computer science ,10,Advertising & Marketing
1092, Program Manager ,Bsc.Statistics ,10,Advertising & Marketing
1093, Customer Service Representative,Bsc.Geology and Mineral Science ,7,Construction
1094, Client Management Specialist,Bsc.Biochemistry ,8,Energy
1095, Head of Legal ,Bsc.Botany/plant Biology,3,Advertising & Marketing
1096, Senior Internal Auditor,BE.Civil Drafting and Civil Engineering ,10,Consumer Products & Services
1097, Founder ,Bsc.Accounting ,4,Education
1098, Trainee ,Bsc.Finance,0,Consumer Products & Services
1099, Software Engineer,Bsc Agriculture ,7,IT Management
1100, Fullware Solutions Limited,Bsc.Chemical Engineering ,7,Software
1101, Software Engineer ,Bsc.Petroleum Engineering ,10,Software
1102, Business Operations Manager,Bsc.Biochemistry ,10,Construction
1103, Instructor ,"BE,Civil Engineering ",5,Business Products & Services
1104, Financial Market Research Analyst,Bsc.Biochemistry ,10,Advertising & Marketing
1105, Inventory Officer at OGM gadgets,"BE,Civil Engineering ",0,IT System Development
1106, Managing Partner ,BSc Food Engineering,7,IT Management
1107, Insurance Data Analyst ,BSc Computer Science,3,Government Services
1108, Executive Trainee in Data Analytics,BE. Agricultural and Bioresources engineering ,10,Retail
1109, Software Engineer | Frontend Web ...,BE. Petroleum Engineering ,5,Advertising & Marketing
1110, Senior Technical Engineer ,BE. Chemical Engineering ,10,IT Management
1111, Keystone Bank Limited,BA Fine Arts and design,10,IT Management
1112, Customer Support Specialist ,BS Plant Science and Biotechnology ,7,Food & Beverage
1113, Cinematographer and video editor,BSc Physiology,10,Advertising & Marketing
1114, customer service officer,BTech Industrial and Product Design ,10,Health
1115, Head of Operations ,BA Mass Communication ,4,Health
1116, MyXalary,Bsc.Accounting and Finance ,5,Consumer Products & Services
1117, MD;/CEO ; PRINCIPAL PARTNER,Bsc.Agricultural Economics ,15,Government Services
1118, Head of Operations ,"BE,French and Education",10,Human Resources
1119, Estate Manager,Bsc.Marketing ,5,Education
1120, Manager ,Bsc.Economics ,10,IT System Development
1121, Associate ,Bsc.Real Estate Management ,7,Real Estate
1122, Non Executive Director ,BSc Business Administration and Management ,5,Retail
1123," Founder, The Bug Detective LTD",BSc Business Administration and Management ,0,Health
1124, Head of HR ,BA Mass commuication/Media studies,10,Travel & Hospitality
1125, Senior Treasury Associate ,BA Mass commuication/Media studies,8,Health
1126, Solutions Architect | Apigee API Engineer,BA English Language/ Literature ,8,Construction
1127, Udacity,BSc Anatomy,8,Logistics & Transportation
1128, Customer Service Specialist,B.Eng. Electronics and computer Engineering ,5,Software
1129, Software Engineer ,BSc Computer Science,10,Business Products & Services
1130, Customer Service Representative,Bsc.Geophysics,5,Government Services
1131, CIO ,"BA,Bachelor of Art",1,Advertising & Marketing
1132, Credit Administration Officer,Bsc.Geography ,7,Business Products & Services
1133, Commercial Residential Realtor,Bsc.Computer Science ,2,Business Products & Services
1134, Marshall Goodness Industries Inc.,Bsc.Public Administration ,6,Insurance
1135, Real Estate Consultant and Developer,"BE,Electrical and Electronics Engineering ",7,Software
1136, Azure Technical Cloud Engineer,Bsc.Computer Science ,5,Construction
1137, Bancassurance Relationship Officer,Bsc.Computer Science ,5,Construction
1138, Account Intern / Client Service Assistant,"BE,Civil Engineering ",10,Business Products & Services
1139, Creative Director ,Bsc.Sociology ,10,Business Products & Services
1140, Founder ,Bsc. Physiology,10,Advertising & Marketing
1141, Director ,Bsc. Microbiology,3,Financial Services
1142, Research Assistant,"BS, Biochemistry",6,Advertising & Marketing
1143, Lead Brand Strategist and Identity ...,"B.Sc, Microbiology, General",7,Travel & Hospitality
1144, Group Head Corporate Retail and ...,Bachelor of Industrial Mathematics,6,Health
1145, Operations ,BSc Computer Science,7,Construction
1146, Sales Executive ,BS Marine Biology and Biological ,10,Software
1147, Appzone Group,"BScEd, Home Economics",5,Consumer Products & Services
1148, Chief Executive Officer ,Bsc.Psychology ,6,Retail
1149, Deputy CEO ,Bsc.Psychology ,5,Business Products & Services
1150, Planning and business development ...,Bsc.Mass Communication ,6,Manufacturing
1151, Frontend Developer ,Bsc.Biology/Biological ,0,Government Services
1152, St. Cloud State University,Bsc.Electrical and Electronics Engineering ,4,Education
1153, Network Engineer ,"Bsc,Economics ",8,Retail
1154, Graphic Designer ,Bsc.Sociology ,10,Retail
1155, Administrative Assistant,Bsc.Computer Science ,5,Health
1156, senior advisor ,Bsc.Mass Communication ,10,Construction
1157, Team Lead Manager,Bsc.Computer Science ,5,Logistics & Transportation
1158, Real Estate Agent ,B.Eng Mechanical Engineering ,7,Government Services
1159," Head, Health Settlement ","BASc, Management Information Systems",6,Business Products & Services
1160, Office Personal Assistant,"BSc City/Urban, Community and Regional Planning",10,Construction
1161, Teacher ,BSc. Computer Science,10,Retail
1162," Editor, Chief Operating Officer",B.Tech. Computer Engineering,7,Advertising & Marketing
1163, VIVA Cinemas,BSc Fishing and Fisheries Sciences and Management,10,Logistics & Transportation
1164, Co,BSc Geology/Earth Science,8,Financial Services
1165, Business Development Manager,BSc Electrical and Electronics Engineering ,2,Software
1166, Product Manager ,"BSc, Business Administration and Management",10,Business Products & Services
1167, Ghana | Professional Profile,"Bachelor's degree, political Science ",10,Construction
1168, Face to Face fundraiser ,"BS, Computer Science",4,Real Estate
1169, Finance Manager ,"BS, Computer Science",10,Advertising & Marketing
1170, Finance Officer ,"Bachelor of Arts - BA, Linguistics
",2,Consumer Products & Services
1171, Trainee Manager/Loss Control Officer,BA Linguistics ,10,Business Products & Services
1172, Office Manager ,BSc Microbiology,7,Business Products & Services
1173, Warehouse Associate ,BSc in Environmental Design,8,Travel & Hospitality
1174, Warehouse/Logistics Assistant ,BA Business Management ,7,IT Management
1175, Rand Merchant Bank,BA.Philosophy ,5,IT System Development
1176, Field Auditor ,Bsc.Economics ,8,Health
1177, Internal Control & Audit ,"LLB,Law ",7,Real Estate
1178, Program Director/CEO,Bsc.Micro Biology ,8,Human Resources
1179, DevOps Engineer ,Bsc.Computer Science ,6,IT System Development
1180, Digital Marketing Manager,Bsc.Biochemistry ,5,Travel & Hospitality
1181, Finance Controller ,Bsc.Economics ,0,Real Estate
1182, Financial Reporting Manager,Bsc.Accounting ,10,Business Products & Services
1183, Brains and Hammers,Bsc.Marine Biology,10,Logistics & Transportation
1184, Facilities Manager (Volunteer),"BASc, Computer Science",5,Real Estate
1185, Product Manager ,"Bachelor's degree, Systems Engineering",7,Logistics & Transportation
1186," Federal Capital Territory, Nigeria","BS, Geophysics",5,Advertising & Marketing
1187, BCN,"BSc, Computer Science with Economics",10,Health
1188, Head of Information Security ,"BSc, Geography and Environmental Management",10,Advertising & Marketing
1189, Inventory Management and Control Supervisor,"BS, Civil and Environmental Engineering",5,Real Estate
1190, Computer Technician/tutor ,"BE, Mechanical Engineering",8,Travel & Hospitality
1191, Brand Consultant ,"BSc, Computer Science",7,Construction
1192, Managing Director ,B.Sc. Electrical and Electronics Engineering,7,Energy
1193, Early childhood Education Sosionomi,"BE, Computer Engineering",6,Computer Hardware
1194, Senior Clinical Research Associate,"BE, Computer Engineering",10,Retail
1195, AWS Devops Engineer ,"Bachelor's degree, Economics",5,Health
1196, Enugu North ...,"Bachelor's degree, Computer Engineering",15,Food & Beverage
1197, Clearance Diver ,"BBA, Business Analytics",5,Media
1198, Quality Assurance Specialist ,"BS, Computer Science",4,Consumer Products & Services
1199, Computer Networking and System ...,"Bachelor of Medicine, Bachelor of Surgery - MBBS, Medicine",10,Real Estate
1200, Head Of Marketing ,"Bachelor of Agriculture, Agricultural Economics",5,Manufacturing
1201, Sales Operation ,"BA, English Language and Literature",8,Telecommunications
1202, ESTATE/FACILITY MANAGER,"Bachelor’s Degree, Cinematography and Film/Video Production",8,Security
1203, Project Manager,"BE, Mechanical Engineering",5,Government Services
1204," Head, People Strategy and Operations",BSc Electrical and Electronics Engineering ,8,Health
1205, Human Resource Manager,"BTech, Computer Science",6,IT Management
1206, Publicity ,"Bachelor’s Degree, Electrical and Electronics Engineering",8,Advertising & Marketing
1207, Human Resource Manager ,"BSc. (hons), Electrical & Electronic Engineering",10,Consumer Products & Services
1208, JET Recruitment Professionals,BSc Computer Science,5,Business Products & Services
1209, Human Resources Manager ,B Tech. in Quantity Surveying,10,Food & Beverage
1210, Human Resources Manager ,"BS, Computer Science",10,Health
1211, Human Resources Manager ,"BA, English Language and Literature, General",9,Financial Services
1212, Human Resource Manager,"Bachelor's degree, Computer Science",10,Advertising & Marketing
1213, University of Lagos,"BE, Mechanical Engineering",0,Construction
1214, Human Resource Manager ,"Bachelor's degree, Mass Communication/Media Studies",10,Government Services
1215, Human Resource Manager ,"Bachelor of Science (B.Sc.), Computer Science",10,Health
1216, Human Resources Manager ,B.Sc. Computer Science,10,Energy
1217, Human Resource Manager,"Bachelor of Engineering - BE, Electronic Engineering",7,IT System Development
1218, Head Human Resources,"BS, Biochemistry",9,Environmental Services
1219, Software Engineer ,"Chemistry/Education , Education",5,Software
1220, Human Resources Manager,"BEd, Guidance and counseling ",10,Financial Services
1221," Software Engineer, Frontend ","Bachelor's degree, Biochemistry",5,Advertising & Marketing
1222, Human Resources Executive,LLB. Law,5,Consumer Products & Services
1223, Software Engineer ,"B. Fisheries, Aquaculture",3,Financial Services
1224, People Operations & Service,"BS, Biology/Biological Sciences, 
",8,Advertising & Marketing
1225, Human Resources / Administrative ...,"Bachelor's degree, Natural Sciences( Microbiology)
",10,Business Products & Services
1226, Human Resource Information System ...,"BSc, Accounting",0,IT Management
1227, Mobile Engineering Lead ,B.Sc Accounting,7,IT System Development
1228, Full Stack Engineer ,"BS, Accounting",6,Government Services
1229, Software Developer,"Bachelor of Laws - LLB, Law",10,Software
1230, Freelance Blogger ,"BS, Geography",9,Insurance
1231, Nubian Nigeria Limited,"Bachelor's degree, civil engineering",10,IT System Development
1232, Veepee Group of Companies,"BEng, Electronic & Computer Engineering ",10,Manufacturing
1233, Partnership executive/HR,"BE, Electrical and Electronics Engineering",9,Software
1234, Business Manager ,"BSc, Biochemistry",8,Real Estate
1235, Junior Software Engineer ,"BBA, Business Administration and Management",10,Business Products & Services
1236, Back End Developer,"BTech, urban and regional planning",15,Telecommunications
1237, Administrative Officer ,"BS, Computer Technology",3,Advertising & Marketing
1238, Software Engineer ,"BS, Computer Science",5,Security
1239, Human Resources Intern ,"Bachelor of Science - BS, Sociology",8,Advertising & Marketing
1240, N.U.E Offshore Resources Limited,BSC Mass Communication ,8,Logistics & Transportation
1241, Lead Frontend Engineer ,"BSc, Agricultural Engineering And Environmental Engineering",5,Real Estate
1242, University of Lagos,BSc (ED) Economics,4,Health
1243, Senior Human Resources Business ...,BSc Economics,3,IT Management
1244, Android Engineer ,Bsc. Geology and Mineral Sciences,10,IT Management
1245, Web Developer ,Bsc. Petroleum engineering ,7,Financial Services
1246, edexcel International by Pearson UK,Bsc. Sociology,7,Human Resources
1247, Electrical Engineer ,Bsc. zoology/Animal Biology,10,Construction
1248, Product Design Intern ,BSc Computer science/Cybersecutity ,7,Business Products & Services
1249, Pluto TV,BSc Industrial Chemistry ,10,Business Products & Services
1250, Human Resources Supervisor ,"Bsc, Clinical Laboratory Science",8,Advertising & Marketing
1251, Digital Marketing Intern,"Bsc, Microbiology",7,Media
1252, Software Developer ,"BSc, Nursing ",5,Business Products & Services
1253, Frontend Engineer,"BSc, Biochemistry",8,Media
1254, Rensource Energy,BSc. Law,5,Consumer Products & Services
1255, University of Benin,"BSc, Statistics",5,Logistics & Transportation
1256, FAE Limited,"Bachelors of Medicine, Bachelors of Surgery",7,Construction
1257, Electrical Engineer ,B.Tech Applied Geology,6,Construction
1258, Project Manager ,Bsc. Marketing ,10,IT System Development
1259, React Developer ,Bsc. Chemical Engineering ,10,Software
1260, Back End Developer ,BSc Statistics ,10,Financial Services
1261, Business Development ,BSc Computer science ,4,Construction
1262, University of Lagos,B.Arch Architecture ,10,Logistics & Transportation
1263, Software Test Engineer ,BSc Human Physiology,10,Health
1264, Co,BE Civil Engineering,5,Business Products & Services
1265, CALEB GROUP OF SCHOOLS,BSc Tourism Management ,11,Financial Services
1266, Human Resources Manager ,B.eng  Petroleum Engineering ,3,Engineering
1267, Software Engineer ,BSc Chemistry,0,Government Services
1268, Web Developer ,BSc Economics,7,Consumer Products & Services
1269, Senior Software Engineer ,BSc Economics,3,Construction
1270, Senior Software Engineer Team ...,BSc Linguistics and communication studies,0,Food & Beverage
1271, Human Resources Manager,B.Ed Education Mathematics ,6,Energy
1272, Web and Graphic Designer,BA History and diplomatic studies,10,Health
1273, codematic.io,BSc Biochemistry ,10,Software
1274, Network Engineer ,BSc Biochemistry ,5,Government Services
1275, Assistant General Manager Sales & ...,BSc International relations and affairs,3,Retail
1276, Application Support Specialist,BSc Pure ad Industrial chemistry,9,Health
1277, Omnibiz Africa,BSc Human Resource management ,6,Real Estate
1278," Greenhithe, England, United Kingdom","BS, Metallurgical Engineering",10,Telecommunications
1279, Product Engineer ,BASc Real Estate,10,Government Services
1280, Service Manager ,BE. Agricultural Engineering ,5,Insurance
1281, Human Resources Executive,B.Tech. Food Science and Technology ,6,Software
1282, Software Engineer ,BSc Industrial Chemistry ,10,Food & Beverage
1283, Trainer ,Mechanical Engineering ,7,Logistics & Transportation
1284, Senior Software Engineer,Mechanical Engineering ,10,Financial Services
1285, Human Resources Manager,BSc Biochemistry ,6,Health
1286, Transaction officer ,BSc Economics ,8,Business Products & Services
1287, Group Head Human Capital Management,BSc Economics ,8,Construction
1288, People and Culture Manager ,BSc Mechanical Engineering ,5,Manufacturing
1289, Data Engineer ,BE Electrical and Electronics Engineering ,10,Business Products & Services
1290, Freelance,Bsc Physics and Mathematics ,5,Financial Services
1291, University of Lagos,BE Electrical and Electronics Engineering ,4,IT Management
1292, Software Engineer ,Bsc Industrial Microbiology ,7,IT Management
1293, Chief Technology Officer ,Bsc Applied Microbiology and Brewing,10,IT Management
1294, Human Resources Manager,B.Tech Applied Geology,10,Logistics & Transportation
1295, Software Developer ,,10,Human Resources
1296, Federal University of Technology Akure,BSc Microbiology,10,Software
1297, Administrative Assistant ,BA Religious studies,7,Software
1298, Technical Manager ,BSc Biochemistry,5,Consumer Products & Services
1299, Business Operations Specialist,BSc Pure and applied biology,5,Food & Beverage
1300, Frontend Engineer ,BSc Food Science and Technology ,7,Food & Beverage
1301, personal Assistant ,BE Biomedical Engineering,15,Real Estate
1302, Senior Software Engineer,BEng Electrical ad Electronics Engineering,10,Software
1303, Managing Director ,B.Tech Agricultural Engineering ,5,IT Management
1304, Marketing Content Specialist,BSc Computer Science,7,Real Estate
1305," Ado Odo/Ota, Ogun State, Nigeria",BSc Computer Science,6,Education
1306, Embedded system designer,BSc Computer Science,5,Business Products & Services
1307, Zone,"B.Eng Electrical, Electronics & Communications Engineering",10,Business Products & Services
1308, Java Software and DevOps ...,"MD, Veterinary Medicine (in view)",8,IT Management
1309, LeoVegas Group,BSc Computer Science and Education ,10,Advertising & Marketing
1310, Network Operations Center Engineer,BSc Biochemistry,10,IT System Development
1311, Human Resources and ...,BSc Microbiology,10,Food & Beverage
1312, Copywriter ,BTech Petroleum Engineering ,5,Government Services
1313, United Kingdom | Professional Profile,BTech Chemical Engineering ,10,Consumer Products & Services
1314, Project Manager/Business Analyst,BSc Computer Science,5,Software
1315, Interim Operations Supervisor,BSc Cell Biology and Genetics,8,Financial Services
1316, United Kingdom | Professional Profile,B.Tech Computer Science ,5,Business Products & Services
1317, Site Civil Engineer ,BSc. Mechanical Engineering ,8,Health
1318, Software Developer ,BSc. Architecture,8,Retail
1319, The University of Winnipeg,Bsc Geology and Mineral Science,5,Business Products & Services
1320, HR Intern TeamLead ,BSc Banking and Finance,7,Software
1321, Customer Support Agent,BA English and Literature,10,Construction
1322, Chief Operating Officer ,BA Mass communication & Media studies,5,Real Estate
1323, Microsoft,BSc Computer science ,10,Advertising & Marketing
1324, Siemens,BSc Economics,5,Retail
1325, Chief Operating Officer ,BSc Computer science ,5,Consumer Products & Services
1326, Longbridge Technologies Limited,Bsc.Statistics ,5,Advertising & Marketing
1327, Demure Investment & Logistics Limited,Bsc.Geology and Mineral Science ,5,Construction
1328, IDT Service Engineer ,Bsc.Botany/plant Biology,0,IT Management
1329, Human Resources Assistant,BE.Civil Drafting and Civil Engineering ,12,Government Services
1330, Chief Executive Officer ,Bsc.Finance,10,Construction
1331, Code First Girls,Bsc Agriculture ,4,Logistics & Transportation
1332, Penn State University,Bsc.Chemical Engineering ,10,Business Products & Services
1333, United Kingdom | Professional Profile,Bsc.Petroleum Engineering ,10,IT System Development
1334, Administrateur ,BE.Chemical Engineering ,10,Real Estate
1335, Digital Content Designer (Graphic Designer),Bsc.Biochemistry ,10,Real Estate
1336, Operations Engineer II ,"BE,Civil Engineering ",10,Consumer Products & Services
1337, Radio Frequency Engineer ,Bsc.Biochemistry ,9,Software
1338," Stirling, Scotland, United Kingdom","BE,Civil Engineering ",7,Business Products & Services
1339, Product Designer ,,10,Travel & Hospitality
1340, RedRock Technologies Ltd,BSc Computer Science,5,Manufacturing
1341, Teach For Nigeria,BSc Computer Science,10,Engineering
1342, Healthcare Assistant ,BE. Petroleum Engineering ,5,Software
1343, Baxi by Onafriq,BE. Chemical Engineering ,2,Business Products & Services
1344, Project Manager ,BA Fine Arts and design,5,Construction
1345," St Louis, Missouri, United States",BS Plant Science and Biotechnology ,7,Construction
1346, Co,BSc Physiology,4,Consumer Products & Services
1347, Cambridge Magistrate court,BTech Industrial and Product Design ,10,Energy
1348, Teleperformance,BA Mass Communication ,10,Health
1349, Construction Project Management in view,Bsc.Accounting and Finance ,7,Insurance
1350, Report Writer ,Bsc.Agricultural Economics ,10,Software
1351, Intern ,Bsc.Accounting ,5,Food & Beverage
1352," Senior Analyst, Programme Management","BE,French and Education",5,Consumer Products & Services
1353, Teesside University ,Bsc.Marketing ,7,Telecommunications
1354, Intern ,Bsc.Economics ,8,Government Services
1355, University of Benin ,Bsc.Real Estate Management ,2,Business Products & Services
1356, IBM,BSc Business Administration and Management ,6,Health
1357, Mixed Media Artist,BA Mass commuication/Media studies,10,Health
1358, Feral Interactive,BA Mass commuication/Media studies,3,Financial Services
1359, Access Bank Plc,BA English Language/ Literature ,10,Consumer Products & Services
1360, Zalando,BA Combined Arts,5,IT Management
1361, Customer Service Representative,BSc Anatomy,10,Media
1362, RBC,B.Eng. Electronics and computer Engineering ,8,Business Products & Services
1363, LPA,BSc Computer Science,6,Construction
1364, University of Ibadan,Bsc.Geophysics,3,Business Products & Services
1365, Khan Academy ,Bsc.Geography ,10,Construction
1366, Worley,Bsc.Computer Science ,4,Security
1367, Redtech,Bsc.Public Administration ,0,Government Services
1368, QA Engineer ,"BE,Electrical and Electronics Engineering ",5,Financial Services
1369, Contract Analyst ,Bsc.Computer Science ,10,Software
1370, Assistant Manager ,Bsc.Computer Science ,7,Government Services
1371, Production Manager ,"BE,Civil Engineering ",6,Human Resources
1372, Jotella Media Group,Bsc.Sociology ,7,Consumer Products & Services
1373, Sap Materials Management Consultant ,Bsc. Physiology,5,IT Management
1374, Crew store ,Bsc. Microbiology,7,Business Products & Services
1375," Oslo, Oslo, Norge | Professional profil","BS, Management and Accounting",10,IT Management
1376," Kollam, Kerala, India | Professional Profile","B.Sc, Microbiology, General",8,Computer Hardware
1377, Mobile Test Engineer ,BSc Computer Science,10,Health
1378, Programación y producción,BS Marine Biology and Biological ,0,Advertising & Marketing
1379, Founder ,Bsc.Psychology ,15,Advertising & Marketing
1380, Markham Healthplex Medical Centre,Bsc.Mass Communication ,8,Advertising & Marketing
1381," Warszawa, Woj. Mazowieckie, Polska",Bsc.Biology/Biological ,10,Business Products & Services
1382, Tesla Power USA,Bsc.Electrical and Electronics Engineering ,10,Government Services
1383, Interfactor organic poska/ mabit pl,"Bsc,Economics ",0,Manufacturing
1384, Supply Chain Management,Bsc.Sociology ,8,Software
1385, fonYou,Bsc.Computer Science ,7,Consumer Products & Services
1386, Team Lead ,Bsc.Mass Communication ,8,Media
1387, Clinical Psychologist ,Bsc.Computer Science ,10,Software
1388, Canadá | Perfil profesional,"BA,  Linguistics ",5,Real Estate
1389, Regional Director of Finance ,B.Eng Mechanical Engineering ,3,Software
1390, Nursing Assistant ,"BASc, Management Information Systems",10,Food & Beverage
1391, Business Owner,"BSc City/Urban, Community and Regional Planning",3,Consumer Products & Services
1392, Graduate Student ,BSc. Computer Science,5,IT Management
1393, Internal Auditor ,B.Tech. Computer Engineering,10,IT Management
1394, Industrial Designer • Academic Associate,BSc Fishing and Fisheries Sciences and Management,2,Government Services
1395, Social Media Manager / Content ...,BSc Geology/Earth Science,12,Environmental Services
1396, Communications Manager,BSc Electrical and Electronics Engineering ,0,Real Estate
1397, Content Creator ,BA Theatre annd media arts,10,Real Estate
1398, Social Media Manager/Content ...,"Bachelor's degree, Public Administration",8,Business Products & Services
1399, Lead Content Creator ,"BSc, Business Administration and Management",8,Logistics & Transportation
1400," Content Creator, Social Media ...","Bachelor's degree, political Science ",5,Engineering
1401, Brand Manager ,"BS, Computer Science",6,Software
1402, Content Manager ,"BS, Computer Science",3,Software
1403, social media manager/ content creator,"Bachelor of Arts - BA, Linguistics
",8,Government Services
1404, Content/ Social Media Manager,BA Linguistics ,7,Software
1405, Social Media Manager ,BSc Microbiology,5,Health
